 Abastecimento de água - Brasil
Domicílios por Município e Ano
Período:1991, 2000, 2010
"Município";"1991";"2000";"2010"
"110001 ALTA FLORESTA D'OESTE";7047;6658;7270
"110002 ARIQUEMES";18979;18527;27166
"110003 CABIXI";1775;1952;1975
"110004 CACOAL";17940;19322;24215
"110005 CEREJEIRAS";4937;4847;5348
"110006 COLORADO DO OESTE";8419;5737;5959
"110007 CORUMBIARA";-;2627;2649
"110008 COSTA MARQUES";2210;2387;3696
"110009 ESPIGAO D'OESTE";5194;6591;8683
"110010 GUAJARA-MIRIM";7291;9033;10684
"110011 JARU";13790;13566;15910
"110012 JI-PARANA";22066;28084;35567
"110013 MACHADINHO D'OESTE";3667;5564;9154
"110014 NOVA BRASILANDIA D'OESTE";3424;4221;5916
"110015 OURO PRETO DO OESTE";17707;10659;11652
"110018 PIMENTA BUENO";11070;8427;10037
"110020 PORTO VELHO";66591;83682;116863
"110025 PRESIDENTE MEDICI";6700;6803;6842
"110026 RIO CRESPO";-;771;997
"110028 ROLIM DE MOURA";13513;12628;15790
"110029 SANTA LUZIA D'OESTE";2744;2965;2746
"110030 VILHENA";9556;14506;23506
"110032 SAO MIGUEL DO GUAPORE";4075;5791;6391
"110033 NOVA MAMORE";1583;3264;6377
"110034 ALVORADA D'OESTE";4426;4981;5011
"110037 ALTO ALEGRE DOS PARECIS";-;3001;3696
"110040 ALTO PARAISO";-;3040;5071
"110045 BURITIS";-;6025;9476
"110050 NOVO HORIZONTE DO OESTE";-;3059;2983
"110060 CACAULANDIA";-;1313;1692
"110070 CAMPO NOVO DE RONDONIA";-;2678;3637
"110080 CANDEIAS DO JAMARI";-;3167;5685
"110090 CASTANHEIRAS";-;1057;1108
"110092 CHUPINGUAIA";-;1449;2345
"110094 CUJUBIM";-;1612;4591
"110100 GOVERNADOR JORGE TEIXEIRA";-;2958;3007
"110110 ITAPUA DO OESTE";-;1698;2533
"110120 MINISTRO ANDREAZZA";-;2708;2925
"110130 MIRANTE DA SERRA";-;3145;3515
"110140 MONTE NEGRO";-;3029;4067
"110143 NOVA UNIAO";-;1998;2100
"110145 PARECIS";-;861;1389
"110146 PIMENTEIRAS DO OESTE";-;654;700
"110147 PRIMAVERA DE RONDONIA";-;1100;1079
"110148 SAO FELIPE D'OESTE";-;1712;1810
"110149 SAO FRANCISCO DO GUAPORE";-;2702;4728
"110150 SERINGUEIRAS";-;2793;3357
"110155 TEIXEIROPOLIS";-;1388;1475
"110160 THEOBROMA";-;2535;3068
"110170 URUPA";-;3555;3920
"110175 VALE DO ANARI";-;1938;2806
"110180 VALE DO PARAISO";-;2426;2432
"120001 ACRELANDIA";-;1869;3459
"120005 ASSIS BRASIL";576;785;1539
"120010 BRASILEIA";4477;4069;5930
"120013 BUJARI";-;1355;2330
"120017 CAPIXABA";-;1258;2353
"120020 CRUZEIRO DO SUL";12174;13941;18581
"120025 EPITACIOLANDIA";-;2739;4391
"120030 FEIJO";3286;5125;7037
"120032 JORDAO";-;709;1303
"120033 MANCIO LIMA";1836;2225;3586
"120034 MANOEL URBANO";1024;1219;1858
"120035 MARECHAL THAUMATURGO";-;1480;2750
"120038 PLACIDO DE CASTRO";3291;3621;4742
"120039 PORTO WALTER";-;1006;1702
"120040 RIO BRANCO";45049;64078;94216
"120042 RODRIGUES ALVES";-;1537;3131
"120043 SANTA ROSA DO PURUS";-;325;816
"120045 SENADOR GUIOMARD";3847;4848;5606
"120050 SENA MADUREIRA";4602;6350;9313
"120060 TARAUACA";5152;5103;7492
"120070 XAPURI";2929;3016;4490
"120080 PORTO ACRE";-;2781;4020
"130002 ALVARAES";1207;1880;2481
"130006 AMATURA";803;1210;1652
"130008 ANAMA";938;1114;1883
"130010 ANORI";1626;2101;3060
"130014 APUI";1151;3252;4606
"130020 ATALAIA DO NORTE";1322;1696;2885
"130030 AUTAZES";2903;4592;6941
"130040 BARCELOS";2129;3974;4443
"130050 BARREIRINHA";2719;3851;5143
"130060 BENJAMIN CONSTANT";2737;3823;5950
"130063 BERURI";1186;1779;2886
"130068 BOA VISTA DO RAMOS";1271;1808;2738
"130070 BOCA DO ACRE";4703;5545;7125
"130080 BORBA";2990;4720;6651
"130083 CAAPIRANGA";1104;1443;2223
"130090 CANUTAMA";2032;1865;2955
"130100 CARAUARI";3410;4241;5240
"130110 CAREIRO";4764;5339;7381
"130115 CAREIRO DA VARZEA";3462;3734;5758
"130120 COARI";6794;10563;15151
"130130 CODAJAS";2369;2945;4486
"130140 EIRUNEPE";3486;4713;6254
"130150 ENVIRA";2367;2930;3204
"130160 FONTE BOA";2464;4534;3900
"130165 GUAJARA";1997;2152;2639
"130170 HUMAITA";6243;6153;9825
"130180 IPIXUNA";1671;2314;3721
"130185 IRANDUBA";3547;5763;9797
"130190 ITACOATIARA";10138;14361;19835
"130195 ITAMARATI";1434;1321;1570
"130200 ITAPIRANGA";975;1298;1765
"130210 JAPURA";1366;1521;1265
"130220 JURUA";814;1146;2043
"130230 JUTAI";2312;3267;3165
"130240 LABREA";5333;5326;8128
"130250 MANACAPURU";9606;13351;18165
"130255 MANAQUIRI";1927;2611;4870
"130260 MANAUS";205997;326852;460844
"130270 MANICORE";5899;6860;9538
"130280 MARAA";1821;2558;2793
"130290 MAUES";5218;7162;10004
"130300 NHAMUNDA";2153;2526;3784
"130310 NOVA OLINDA DO NORTE";2296;3854;5570
"130320 NOVO AIRAO";1983;1882;3152
"130330 NOVO ARIPUANA";2109;2783;4255
"130340 PARINTINS";9747;15955;20671
"130350 PAUINI";2662;2754;3049
"130353 PRESIDENTE FIGUEIREDO";1449;3866;7226
"130356 RIO PRETO DA EVA";1214;3480;6094
"130360 SANTA ISABEL DO RIO NEGRO";2895;1919;2606
"130370 SANTO ANTONIO DO ICA";2407;4151;3992
"130380 SAO GABRIEL DA CACHOEIRA";4161;5431;7490
"130390 SAO PAULO DE OLIVENCA";2213;3259;5331
"130395 SAO SEBASTIAO DO UATUMA";715;1138;1945
"130400 SILVES";1030;1402;1736
"130406 TABATINGA";4251;6549;10014
"130410 TAPAUA";3473;2894;3894
"130420 TEFE";7412;10465;12165
"130423 TONANTINS";1374;2260;2795
"130426 UARINI";808;1528;2192
"130430 URUCARA";1788;3011;3410
"130440 URUCURITUBA";2259;2163;3295
"140002 AMAJARI";-;1077;2108
"140005 ALTO ALEGRE";1568;3544;3700
"140010 BOA VISTA";28486;48753;76250
"140015 BONFIM";1929;1915;2507
"140017 CANTA";-;1946;3634
"140020 CARACARAI";1379;3005;4436
"140023 CAROEBE";-;1246;2155
"140028 IRACEMA";-;1110;2236
"140030 MUCAJAI";1966;2406;3876
"140040 NORMANDIA";1655;1212;1702
"140045 PACARAIMA";-;1400;2393
"140047 RORAINOPOLIS";-;3406;5935
"140050 SAO JOAO DA BALIZA";1609;1193;1734
"140060 SAO LUIZ";1784;1223;1734
"140070 UIRAMUTA";-;1015;1444
"150010 ABAETETUBA";16405;21414;30917
"150013 ABEL FIGUEIREDO";-;1367;1868
"150020 ACARA";6821;9830;11715
"150030 AFUA";3418;5216;6754
"150034 AGUA AZUL DO NORTE";-;4699;5812
"150040 ALENQUER";9731;8073;12106
"150050 ALMEIRIM";5665;6774;7862
"150060 ALTAMIRA";13691;17469;26427
"150070 ANAJAS";2409;2990;4853
"150080 ANANINDEUA";19020;92479;125800
"150085 ANAPU";-;1854;5075
"150090 AUGUSTO CORREA";5456;6137;8857
"150095 AURORA DO PARA";-;3918;5839
"150100 AVEIRO";2019;2926;3436
"150110 BAGRE";2152;2211;3711
"150120 BAIAO";3441;3782;8007
"150125 BANNACH";-;851;984
"150130 BARCARENA";8961;13292;24844
"150140 BELEM";255902;296352;368877
"150145 BELTERRA";-;2983;3987
"150150 BENEVIDES";13780;8049;13665
"150157 BOM JESUS DO TOCANTINS";3257;2924;3848
"150160 BONITO";1628;2106;3322
"150170 BRAGANCA";17558;18663;26222
"150172 BRASIL NOVO";-;3637;4362
"150175 BREJO GRANDE DO ARAGUAIA";2409;1607;1913
"150178 BREU BRANCO";-;6614;12226
"150180 BREVES";11529;13564;17500
"150190 BUJARU";2661;3831;5855
"150195 CACHOEIRA DO PIRIA";-;3111;5639
"150200 CACHOEIRA DO ARARI";2377;3000;4537
"150210 CAMETA";13276;16137;23623
"150215 CANAA DOS CARAJAS";-;2521;7452
"150220 CAPANEMA";10232;12754;16862
"150230 CAPITAO POCO";8201;10068;12955
"150240 CASTANHAL";20214;30610;45444
"150250 CHAVES";2930;2945;4308
"150260 COLARES";1548;2028;2787
"150270 CONCEICAO DO ARAGUAIA";11237;10446;12853
"150275 CONCORDIA DO PARA";2846;4040;6288
"150276 CUMARU DO NORTE";-;1163;2640
"150277 CURIONOPOLIS";8247;4646;5228
"150280 CURRALINHO";2354;3290;5245
"150285 CURUA";-;1722;2648
"150290 CURUCA";4987;5412;8503
"150293 DOM ELISEU";4819;8870;13001
"150295 ELDORADO DOS CARAJAS";-;6277;8055
"150300 FARO";2419;1522;1710
"150304 FLORESTA DO ARAGUAIA";-;3245;4841
"150307 GARRAFAO DO NORTE";3609;4569;5801
"150309 GOIANESIA DO PARA";-;4974;7840
"150310 GURUPA";3033;3801;5394
"150320 IGARAPE-ACU";5391;7028;9118
"150330 IGARAPE-MIRI";6638;9078;12001
"150340 INHANGAPI";1257;1587;2497
"150345 IPIXUNA DO PARA";-;4763;11382
"150350 IRITUIA";5435;6024;7487
"150360 ITAITUBA";21456;20007;23581
"150370 ITUPIRANGA";6911;9688;12568
"150375 JACAREACANGA";-;3683;2291
"150380 JACUNDA";8241;9308;12576
"150390 JURUTI";3899;5303;9294
"150400 LIMOEIRO DO AJURU";2518;3216;4888
"150405 MAE DO RIO";4981;5486;7060
"150410 MAGALHAES BARATA";1352;1596;1986
"150420 MARABA";24949;37919;60457
"150430 MARACANA";4941;5489;6788
"150440 MARAPANIM";3834;5234;6701
"150442 MARITUBA";-;17026;27357
"150445 MEDICILANDIA";5673;4722;7348
"150450 MELGACO";2397;3391;4049
"150460 MOCAJUBA";3014;3577;5352
"150470 MOJU";7930;9680;15538
"150480 MONTE ALEGRE";8827;12742;13725
"150490 MUANA";3815;4613;7028
"150495 NOVA ESPERANCA DO PIRIA";-;3451;4674
"150497 NOVA IPIXUNA";-;2653;3778
"150500 NOVA TIMBOTEUA";1983;2630;3647
"150503 NOVO PROGRESSO";-;4314;6923
"150506 NOVO REPARTIMENTO";-;8545;15139
"150510 OBIDOS";7437;9090;11254
"150520 OEIRAS DO PARA";3016;3870;5469
"150530 ORIXIMINA";7409;9118;13673
"150540 OUREM";5648;2968;4110
"150543 OURILANDIA DO NORTE";5125;4083;7079
"150548 PACAJA";5483;5401;10041
"150549 PALESTINA DO PARA";-;1608;1978
"150550 PARAGOMINAS";13228;16773;24967
"150553 PARAUAPEBAS";10962;16432;42726
"150555 PAU D'ARCO";-;1623;1646
"150560 PEIXE-BOI";1252;1829;2209
"150563 PICARRA";-;2846;3495
"150565 PLACAS";-;2777;5564
"150570 PONTA DE PEDRAS";3005;3710;5828
"150580 PORTEL";5044;6561;9606
"150590 PORTO DE MOZ";2643;3963;6060
"150600 PRAINHA";4053;4816;6150
"150610 PRIMAVERA";3220;2041;2644
"150611 QUATIPURU";-;2288;3055
"150613 REDENCAO";11659;15040;19881
"150616 RIO MARIA";5416;4421;5155
"150618 RONDON DO PARA";8197;8888;12535
"150619 RUROPOLIS";3711;5177;9328
"150620 SALINOPOLIS";4159;6886;9078
"150630 SALVATERRA";2355;3214;5070
"150635 SANTA BARBARA DO PARA";-;2399;4460
"150640 SANTA CRUZ DO ARARI";872;967;1501
